ID	UMAP_X	UMAP_Y	UMAP_Z
OAS1_0002_MR1	4.990962	0.76829314	5.8484106
OAS1_0003_MR1	9.898105	1.1080444	4.3561153
OAS1_0010_MR1	4.714034	1.8846431	5.9825497
OAS1_0011_MR1	9.5257225	1.1505191	3.3380995
OAS1_0013_MR1	9.72734	1.297806	2.9290051
OAS1_0015_MR1	4.9223065	1.4428197	7.6966357
OAS1_0016_MR1	5.070973	1.6950377	5.4120054
OAS1_0018_MR1	4.767689	0.5435352	8.132937
OAS1_0019_MR1	10.252615	1.5784243	4.2882524
OAS1_0020_MR1	4.9658074	1.123355	5.6105914
OAS1_0021_MR1	4.3965826	1.1918145	8.686089
OAS1_0022_MR1	5.6216526	1.588726	7.838908
OAS1_0023_MR1	4.3106775	1.3343039	7.9696603
OAS1_0026_MR1	9.889733	2.219817	2.9981925
OAS1_0028_MR1	4.827993	0.92118675	8.631572
OAS1_0030_MR1	9.294843	0.70611215	2.5418391
OAS1_0031_MR1	10.04714	1.4204063	3.9504752
OAS1_0032_MR1	8.538493	0.92942935	2.5366793
OAS1_0033_MR1	9.983749	1.8328723	2.8854818
OAS1_0034_MR1	5.7918725	1.6808282	7.3107023
OAS1_0035_MR1	9.878296	1.8592614	4.31177
OAS1_0039_MR1	9.984158	1.4255106	4.771155
OAS1_0041_MR1	5.5927095	1.8372096	6.908446
OAS1_0042_MR1	4.455643	0.8215396	8.401247
OAS1_0044_MR1	5.358674	1.41906	5.994594
OAS1_0046_MR1	4.397213	1.8685696	6.352983
OAS1_0052_MR1	4.8305526	1.8055071	6.165813
OAS1_0053_MR1	9.677179	0.8164992	2.4464679
OAS1_0056_MR1	9.483873	1.2040644	2.639296
OAS1_0058_MR1	10.509266	1.2587575	3.4471474
OAS1_0060_MR1	4.5482783	1.6211609	8.187702
OAS1_0062_MR1	4.8173957	0.79491127	6.03912
OAS1_0064_MR1	4.943313	0.45400363	7.421133
OAS1_0065_MR1	5.3444095	1.282437	7.5369973
